[프로젝트명] 요구사항 정의서,,,,,,,,,,,,,,
문서버전,v1,작성일자,2026.07.22,작 성 자,AI_01반_02조,,,,,,,,,
11,BAF-09-06,신규,사업성 분석 기능,사업성 분석,시장 분석,시장 분석 기능,"○ 사용자가 등록한 사업계획서를 기반으로 시장 규모, 시장 동향 및 경쟁 현황 분석
○ 분석 결과를 정리하여 제공
○ 시장 분석 결과를 보고서로 다운로드 가능",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
12,BAF-09-07,신규,사업성 분석 기능,사업성 분석,BM 분석,BM 분석 기능,"○ 사업계획서를 기반으로 비즈니스 모델의 적합성을 분석
○ 수익 구조와 경쟁력을 평가하여 분석 결과 제공
○ BM 분석 결과를 보고서로 다운로드 가능",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
13,BAF-09-08,신규,사업성 분석 기능,사업성 분석,기술·운영 분석,기술·운영 분석 기능,"○ 사업 수행에 필요한 기술 및 운영 환경을 분석할 수 있어야 한다
○ 기술적 위험 요소와 운영 적합성을 평가해야 한다
○ 기술·운영 분석 결과를 보고서로 다운로드 가능",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
14,RPT-07-13,신규,보고서 기능,보고서 관리,중간 보고서 생성,중간 보고서 기능,"○ 시장 분석, BM 분석, 기술·운영 분석 및 재무 분석 결과를 종합하여 중간보고서 생성
○ 항목별 위험요인 및 개선사항을 포함한 중간보고서 생성
○ 생성된 중간 보고서를 다운로드 가능",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
15,AIV-06-11,신규,AI 검증 기능,AI 시장 검증,페르소나 집단 조사(FGI),페르소나 집단 조사 기능(FGI),"○ 서비스 특성에 적합한 AI 페르소나를 대상으로 설문 수행
○ 설문에 대한 응답을 생성하고 저장
○ 정리된 페르소나 집단 조사 결과를 제공",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
16,AIV-06-12,신규,AI 검증 기능,AI 시장 검증,페르소나 토론(FGD),페르소나 토론 기능(FGD),"○ FGI를 기반으로 페르소나 간 토론 진행
○ 페르소나들의 찬성·반대 의견과 근거 생성
○ 토론 결과를 분석하여 최종 보고서에 반영",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
17,RPT-07-14,신규,사용자 기능,보고서 관리,최종 보고서 생성,최종 보고서 생성,"○ 사업성 분석 결과와 AI 시장 검증(FGI·FGD) 결과를 종합하여 최종 보고서를 생성
○ 시장성 평가 결과와 개선사항을 포함한 보고서 제공
○ 생성된 최종 보고서를 다운로드 가능",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
18,MKT-10-15,신규,마케팅 기능,콘텐츠 제작,마케팅 콘텐츠 생성,마케팅 콘텐츠 생성 요청 기능,"○ 프로모션 이름, 메인 배너 및 이미지를 입력
○ 상품 섹션은 DB에서 받아오고, DB에서 받아온건 블록 처리",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
19,MKT-10-16,신규,마케팅 기능,콘텐츠 제작,AI 광고 배너 생성,AI 광고 배너 생성 기능,"○ 입력된 마케팅 정보를 기반으로 AI가 광고 배너 생성
○ 생성 진행 상태를 사용자에게 제공",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
20,MKT-10-17,신규,마케팅 기능,콘텐츠 제작,광고 배너 미리보기·저장·다운로드,"광고 배너 미리보기·저장·다운로드
기능","○ 생성된 광고 배너를 미리보기 형태로 제공
○ 광고 배너를 다운로드 가능
○ 광고 배너를 프로젝트별로 저장 및 조회",S/W요구사항,기능,상,수용,ㅇ 과제정의서,신규,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
